generation, fitness, rule
50, 5.800100, 265424200116310230465663062204614531425412103114163152252226600303461346024126433416250146020436211214556625065631220215413625645465046365455312216500016005444526440320660241025302454455253514224464202421621456451056106005322646163066163031534
51, 5.200100, 265424200110350530025163300244616521466605546466250136113266600303461366054126433416250146020436210214556625062631223215413625645465046365455212216520016115054523440320660241025402454455543512224614202421621456453256306005322646163066163031534
52, 5.600100, 265424200116310230465663062204614531425412103114163152252222650303461340054121433416250146060436211414541525063631210220413625441460041365455322226502016105054526440010265241025402454455543510254614202421621456451226506005302646163066163031534
53, 5.400100, 265524200116310030465156643056534530106032102113160152252466600303461346054126433416250146020436211215556665065631220215416625645465046365555312216500016115054523440320660243055412454455243540263314202461626456451056106005322646161066163031534
54, 5.400100, 341225650110310530025156643056534530106035546466050136113266600353461356024126433416250146020436211214556665062631223215413625645465046325455212216500016115054523440320660241025602454455543512225614222421620456455056106015322646163066163031534
55, 5.100100, 264425650110310235465463305240616521466605546466250136113266600303461366054126433416250146020436211214556665062631223215413625045465046325455212216500016115054523440320660241045402454455544540263314202461626456451056106005322646161066163031534
56, 5.500100, 341225650110310530025143343056534530106035546466050136113266600353461356024126433416250140020436210214556625062631223215413625345405046365405312216542015005444526440320620243051422454455543512224614202421621456450256506405322646163066163036534
57, 5.200100, 265424200110350530025156643056534330106032102123160152213442050303461640050126433416250146020436211214556665062631223215413625645465066325455212216500016115044523440320660241045402454455543502224614202421620456455056146405322646161066163031534
58, 5.100100, 265424200116310030465156643044616521466605546466250136113266600303461366054126433416230146020436211214556665062531223215413625065465046325455212216500016115054523440320660241045402454455253514224264202421226456451056106005521646161066163031136
59, 5.400100, 345424201110310230465443343056534550106032102113160152252466600303561346054324512216250146020436211264556625062636223215413625645465026365255345216502016105054526440320660241026402454455543522224614202421620456455056106405322646163066163031534
60, 5.100100, 265424200116310610465156643056534530106032102113160136113266600353461356024126433414250140020436210214556625062631223215413625645405046365255345216502016105050523440320660241025402454455256540663314202461626456451056106005322646161066163031534
61, 5.500100, 065464200116350530025156643056534530106665546466104632252266600303461640054146333416250146020436210214556625062631253215413625645405046365255345216502016105054523440320660241025402454455256540263314202461626456451056136002322646161066163031534
62, 5.600100, 265424200116350530025156643056534530106645546466104632252266600303461346054126433416250141020436211214556665062636223215413625645405046366455345210502016005044526440320620243051422454455253540263314202461626456451056136005322646161066163031534
63, 5.200100, 265424200116310630465156643056534530106032102113150152252466600302461366104534512216250146020536211214556625062636223215413625645465026365455345610502016105054506440320660241045402454455543512224614202421620456451053106405322046163066163036534
64, 5.400100, 265425350110310533025463320244616521466305546466250136113266610303461366104534512216250146020436211214556625062636223215413625625465026365455345216502016105054526440320660241025402454455543510663314202461126456455056146405222646161066163031504
65, 5.400100, 265424200210350530025156643056534530106632202123160152213442051303461356024126433416550106020436011214550525062631223211413415345405026365455345610502016105054523440320660240050402454455563510663324202461326456450256106005521646100066162036534
66, 5.700100, 345454201110316230465443343056534550106032102123165152161410505603461366104534512216250146020436211214556625062636223215413625645465026365455345610502016105054523440320620243051422454455253540263314202461626456451056136005322646161066163031534
67, 5.300100, 265424200116310630025156643056534330106032102113150150252466600302461366104534512216250146020436211214556625062636223215413325645465046366455345216502016105054526440320660241425402454455543510663212202461326456450256106005322646163066163036534
68, 5.400100, 265324200116310630465156643056534530106032102113150152252466600302461166054124433416230146020436261114556625052631223215413625645465046364455312216542016115054526440320660241025402454455543510663314202461126456455056146405222646161066163031504
69, 5.100100, 235434200110350530025463301243614535106032102113160152252466600303461336104534512316250146020436211214556625062636223215413625635465026365455345216502016105054526440320660241025402454455543510663314202461326456450256106005122046163066163036534
70, 5.400100, 265424500110110530025143343050524530106012102122162352213442051303466356024126433416550106220436011214550525062631223213413115345405026345455345610502016405054506440320660241325406454455543512224614202421620456451056106005521640163066363036534
71, 5.200100, 265424500116310630465106643044616521466605546460250126113266600303461336104534542216250446025436201214530525062631223215413115345405026365455345610502016105054506440320660241325406454455543512224614202421620456451053106405322046163066163036534
72, 5.000100, 265425350110310533025463301243614540106032102113160152252466601303461166054124433416230126020436211114556625052532123215413325645465046365455345266502016105054526440320620243051022454455543510623314202461326456450256106003122046163066163036534
73, 5.400100, 265424200110110530020146643044616521462605546460250126113266600303461336104644542216250446025436261214530525062631223215413115345405026365455345610502016105054506440320660241325406454455543512224614202421620456451053106005322046163066163031534
74, 5.500100, 265424500116310630465156643054616521466305546466255566113266640313061166554124433416230126020436211114556625052532123215413325645465046366455125210502016005044526440320620243056422454455253540263224202421326456450256106005322646163566163036534
75, 5.300100, 265424250110110530025143343056534530106032102123165152160410505603461366024126433416550106220436011214550525062631223213413115345405026345455345610502016105454546440320660241025406454455253514224264202421226456451056106005521640163066163026534
76, 5.400100, 265424200110110530020143343254616521466355546466250352210410505603461366024126433416550106220436011214550525062631223213413115345405026345455345610502016105454546440320660241025406454455253514224264202421226456451056106005521640163066163026534
77, 5.500100, 265424200110116530020116643044616521466605546466250126113442051303461356024126433416550146120436211214530525062631223215413115345405026365455345610402036005044556440320620243056422454455253540263224202421226456451056106005521640163066163066534
78, 5.500100, 165424200110116530020116643044616521106012102125250352211466600353664356024126433416550146120436211214550525062601223215413625645265026365455345215502016105054546440320360241025416454455253540263224202421620456451056106505521600163066363036534
79, 5.300100, 265424200110116530025463320244616521466355546066250352211466630353664356024123633316230146020436211214556624062636223215411625645465026365455345205502016105044556440320620243056422454455253540263224202421220456451056106005521640163665463036534
80, 5.000100, 263425350110310630465156643054616521466305546466255366131266640303061166024126433416550146120436211414550525062601223215413625645265026365455645215502016105054546440326360241025406454452253540263224202421620456451056106505521606160065163036534
81, 5.400100, 263425350110310630465156643054616521466305546466255366131266040303061166024126433416550146120436211414550525062601223215413625645265026365455645215502016105054546640320160241025606454455543514224264202401226456451056106005523640163066163036534
