generation, fitness, rule
57, 9.900100, 320343626255324450624424002640302515453654222054221602232640105652522002053465100622203132606316343446412200214330012025216345425214431542050624660151502663425240256250164124325042440251351153446160533200321254154201425253601110324502046615066
58, 10.300100, 620344626135321066024121002640302515053650332051453335232340103352520002653415100622203132606316343446412200214330012025216345425214431542050624660151502663425240256250160124325042440251351153446160533200321254154204425253601110324502046615066
59, 11.700100, 334255265035324036024121002645302515453354222051453335232340103352545602655410306151453531205330661641506154414312166630216242421213635541650631551551503661455240251250061120445042440251351153446160533200321254154201425655601110324502046615066
60, 12.900100, 334255265035324036024121002645302515453354222051453335232340103352545602655410306151453531205330661641506154414312166630216242421213635541650631551551503661455240251250061120445042440251351153446160533200321254154201425655601110324502046615066
61, 13.500100, 332255253305121050024221100340324515453650422055653355212345105352510002360421565306202645605330121051612463311230012063216345425215431541650631551551503661455240251250061120445042440251351153446160533200321254154201425655601110324502046615066
62, 10.950100, 332255266135321036124121002643302515453654262053601255222344246514400002653415026642233133605646354122112223314232012065216345445262635541630634460111503661455240254250061120445042440251351153446160533200321254154201425655601110324502046615066
63, 12.700100, 334255265035324036024124002640352515653654324051653365232333105352520302603421565336202645605330121051612463311230012063216345425215431541650631551551503661455240251250061120445042440251351153446160533200321256154540024323442312331212050605060
64, 13.100101, 334255265035324036024124002640352535653353222053453332231640105252520042613421565306202645605330121443456655244234014065213345425215431541650631551551503661455240251250061120445042440251351153446160533200321254154201424655601110324502046615066
65, 15.000100, 334255265035324036024124002640352515653654324051653365232333105352520302603421565336202645605330121051612463311230012063216345425215431541650631551551503661455240251250061120445042440251351153446120533200321256154540020323044110403623513615360
66, 14.200100, 334255265035324035024124002640352535653353222053453332232344246514400002653415426642233133605446354122112223314232012065216345445212635541630634246351502121455240251250061120445042440251351153446160533200321254154201425655601110432112050615006
67, 13.200100, 330343626255321066024121000640304515453454332053453332232333105352510002360421565306202645605130121443456655244201612032306060054555501542050604660151502660455240251250061120445042440251351153446160264604061256154201425253601112131212513615060
68, 15.400100, 332252626136321066024421000640324515453650422055653355212345605352510012363421565336202645605330121443456655244201612032306060054555501546651431446351500663422340250250564124325042440251334153446160533200321254154201425655601610432112050615006
69, 15.100101, 334255265035324036024124002640352515653353422053453332231650105252420302653415026642233132605330121051612463311230012066216345416113635542050624660151502663425240256251464124325042440251351153446160533200321254154340620323040110405623110625066
70, 14.350101, 332252626136321066024421000640324515453650422055653332231640105252520042613421535321454531005330161651456153254330010025216345416213635542650624660111302643055240251250061120445042440251351153446160533504321256154540020323042314431112056645060
71, 15.250100, 232255266305321036024124002640352515653654324051653110232343105252620302653415025306202645605330131041612463311230012063212345425215431541650631551351500633424240256250062120445022440251351153446120064604021256154040420340642064344503110605060
72, 16.100100, 332255266135224036024121002640352552653654322051601255222344206514406002653415036642233133605646354122112200622051612032306060465245401522650624660151502661455240251250061120445022440251351153446460264204321256154540020323044110406623513615366
73, 15.800100, 334255266135351036124151002640352515653654222053453336232640105252520342653443560022303132005330121403456655244230012063216345425215431541652631551551503661455240251250061120145042440251351153446160533200321254154201425655601156324502046615006
74, 15.500100, 334255265035321050024224002640352515653354222051453335232340103352545502653110306151153531005330121051612463311230012066216345416113665542050624660151502663425240256251404124325242440251351153446160533200321250154340620323621313432132130625063
75, 15.500100, 232255266305321036024124002640354515653353222054453332431652105252420302653415026642233132605606354122112223214330012032306060466215635542651531446351503661455240256253224161330042440251351153146160533200321254155340620323621114431112056645060
76, 19.050100, 334255265035324066424124002640352515653654324051653332431652105252420302653415026642233132605606354122212223214330012032306060466215635542651531446351503661455240256253224161330042440251351153146160533200321254155340620323621114431112056645060
77, 16.150101, 232255266305321036024124002640352515653452622055653355212345105352510002360421566541233133605630121443456655244201612032006060565245401532660624660114302643455240256250061120445042440251351153446160533504421256154540020323041610324502046615006
78, 17.850100, 334255233305321050024221002640352515653654222053653355252345105252540042613421265336202645646316334122112200622051612032406025425213335502600634511111502651455240251250061120445022240251351153446120533200321254152201425655601110324522026645066
79, 18.600100, 332255265035351036124151002640352515653654523053453336232640105252520342653443562022300142005330221403456655244230012066216345416114635542050624660151502661455240251250061120445052440251353151146120533200321254154201425455651610400623050615006
80, 18.900101, 232255266305321036024124002640352515653654324051653332431652105252420302653415026652233132605606354122212223214330012032306060466215401522550624660151402661455240251250061120445022440251351153456160533200321250154340620323621313432132130625063
81, 19.150101, 334255263305321050024221002640352505653654222053653352232304203514406005653415026156453133605646355122112200620051612032306060025213335502600634511111502660455240251250061120445022440251351153644140633200311254154201425655601610432112050615006
82, 18.150101, 334255265035324036024124002640352515653654224051653336232640106514406002653415026642233132005330151403456655244211612032306060465245501522650224660152502660455240251251404124315242440251351153146160533200321254155340620323621114431112056645060
83, 18.650101, 632252266135351035054124002640354515653353224051653336232640106514406002653421565336202605606316634122162200622051612032566025425213331542052604660151402661455240251250061120445022440251351153446160533200321254152201425654601500432132130625063
84, 17.850100, 334155265005120036054441000644352515653353412153453362231650105250400042613421306602233133605046353122156153212330012020306242025343335162650631551551503661455240251250661121330042440251341153146160533504321256154543425655621313432623213616060
85, 18.900101, 334255265035321050024124002640352555653653262155653355252345305252520302613415026642253132605606354122116154444251612032306060021213335502600634511111502663425240256251404124315242440251351153146160533200321254154201425655606110324552036615066
86, 20.250099, 632252266135351035054124002640354515653353224051653336232640106514406202653421565322303132006316434122112200622051602662006060565245401536663634660151502660455240251250061120445042440251351153456160533200321250154340620323621313432132130625063
87, 18.450100, 332255265135351035054124002640350515653653262055653345352645105252540042613441026151453531205430161441456153213130112066332060445213335500600634511111502660455240251250061120446042440251351153146160533200321254155440620323621313432132130625063
88, 19.350100, 332255265135351035054124002640350515653653262055653355352645105252520345653443560022303432005330121403456655244230012063216345425215431551652131551551503661455240251250061120445022240251351153456160533200421254154340620323621013432112050615006
89, 21.900101, 334255265135351035054124102640353515653654224051653355212345105352510012323221255316202645606316334122112200622051612332306060001213335342651531660161502663425240256251405124325242440251351153146160533504321256154543020326040110405502046645006
90, 21.900101, 332255265033351035054124000640354515653654262155653355252345305252520302613415026642253132605606354122116154444251612665216333465245401522550624060151402661455245256253224161336042440251356153146160533504331256154543020355601610400623050615006
91, 18.700100, 332255265033351035054124000640354515653654262155653355252345305252520302613415026642253132605606354122116154444251612665216333465245401522550624060151402661455245256253224161336042440251256153146160533504331256154543020326040510405613513615060
92, 22.450100, 332255255135351035054124002640350515653354262153653355252045105252520302513415026642233132605606364122116154444251612062306060465245501542052604660151500661455240251251064120325012440251351153146160533504321256154543020326340110405112513615060
93, 24.900101, 352252266135351033424221002640352515653653262155653355252345305252520302613415026652253132605606354122116554445251612032306060000245505542052604660151502660455040256253264161336042440251051153146160533504321250154340620303621313432132136625063
